Run Group Frequency Power
0 2/3E 3 408543050.49945295
0 2/3E 4 399507915.4834113
0 2/3E 5 401912789.5394837
0 2/3E 6 406336007.2655269
0 2/3E 7 406620953.73981094
0 2/3E 8 402696133.7135093
0 2/3E 9 399779433.5683155
0 2/3E 10 399323895.3154026
0 2/3E 11 396435246.3954159
0 2/3E 12 392843408.1968926
0 2/3E 13 394213258.17802227
0 2/3E 14 395710739.98145676
0 2/3E 15 395295768.4172993
0 2/3E 16 397741868.33566016
0 2/3E 17 398009579.97310984
0 2/3E 18 392353471.9693203
0 2/3E 19 386789640.26221657
0 2/3E 20 381988942.0213461
0 2/3E 21 376304624.3291013
0 2/3E 22 374760649.4844571
0 2/3E 23 379583925.26395047
0 2/3E 24 383192034.67796254
0 2/3E 25 379291427.7839751
0 2/3E 26 372602180.23578066
0 2/3E 27 365849875.4698269
0 2/3E 28 355563924.4865973
0 2/3E 29 346223941.7497498
0 2/3E 30 342057059.7062405
0 2/3E 31 340692689.19242424
0 2/3E 32 344133334.5690174
0 2/3E 33 348711749.57732856
0 2/3E 34 343052501.4990938
0 2/3E 35 329188952.76698387
0 2/3E 36 319556501.4751954
0 2/3E 37 318284954.9881196
0 2/3E 38 320469890.4922648
0 2/3E 39 324308272.6672324
0 2/3E 40 331026758.9253506
0 2/3E 41 334060529.86067045
0 2/3E 42 329072090.9105902
0 2/3E 43 322301629.3097625
0 2/3E 44 314279699.04702437
0 2/3E 45 304034456.7051831
0 2/3E 46 299360090.8927812
0 2/3E 47 299174852.9060527
0 2/3E 48 294120446.22357666
0 2/3E 49 284586502.9496597
0 2/3E 50 276223658.9817201
0 2/3E 51 270230637.7825921
0 2/3E 52 265219291.08267927
0 2/3E 53 261612724.3486548
0 2/3E 54 258939705.41067547
0 2/3E 55 254607716.0280538
0 2/3E 56 251579365.79123813
0 2/3E 57 252189893.1980628
0 2/3E 58 249374237.25620311
0 2/3E 59 241295933.22294402
0 2/3E 60 234469618.71516734
0 2/3E 61 229716438.20776355
0 2/3E 62 225157423.27743208
0 2/3E 63 221536651.6950056
0 2/3E 64 218964832.99565303
0 2/3E 65 216718610.1593551
0 2/3E 66 214040792.56512302
0 2/3E 67 210237759.9466465
0 2/3E 68 203268408.28161743
0 2/3E 69 192707790.85341376
0 2/3I 3 943567508.495064
0 2/3I 4 881750031.261804
0 2/3I 5 876236242.3501896
0 2/3I 6 883479610.4937372
0 2/3I 7 884249181.1779776
0 2/3I 8 876435508.3595445
0 2/3I 9 869651009.9923031
0 2/3I 10 866765167.8241856
0 2/3I 11 858340741.4303815
0 2/3I 12 848738799.3724818
0 2/3I 13 849546854.3893301
0 2/3I 14 849683107.5392646
0 2/3I 15 845391893.2376088
0 2/3I 16 847245281.0092257
0 2/3I 17 842841294.2816308
0 2/3I 18 824028133.7447138
0 2/3I 19 805717726.3276072
0 2/3I 20 789149860.0093373
0 2/3I 21 769479489.6474028
0 2/3I 22 757432027.0671551
0 2/3I 23 757303112.7543335
0 2/3I 24 753433510.234527
0 2/3I 25 733897524.9111737
0 2/3I 26 707878479.5563325
0 2/3I 27 681425445.0796394
0 2/3I 28 650214579.5932446
0 2/3I 29 623478638.1447108
0 2/3I 30 606975580.328665
0 2/3I 31 594687428.2460514
0 2/3I 32 592027413.9273169
0 2/3I 33 592411208.337781
0 2/3I 34 572603048.9172317
0 2/3I 35 537826096.230762
0 2/3I 36 512690553.9952698
0 2/3I 37 503056728.28374153
0 2/3I 38 499541003.9505524
0 2/3I 39 496982092.0564878
0 2/3I 40 494298390.7289922
0 2/3I 41 484118786.0773268
0 2/3I 42 464943930.5451143
0 2/3I 43 446266912.2447134
0 2/3I 44 426078888.4584026
0 2/3I 45 401332128.48825514
0 2/3I 46 383912438.96844065
0 2/3I 47 373484008.89532006
0 2/3I 48 357236236.0166242
0 2/3I 49 334569856.64003336
0 2/3I 50 309842913.27689165
0 2/3I 51 285122455.43944114
0 2/3I 52 264375410.46182394
0 2/3I 53 249174697.6866699
0 2/3I 54 236219495.36179084
0 2/3I 55 223179817.79954892
0 2/3I 56 213058252.90490806
0 2/3I 57 206318993.6377191
0 2/3I 58 196022970.7193016
0 2/3I 59 180377136.79750454
0 2/3I 60 164548695.23366284
0 2/3I 61 149984270.3697008
0 2/3I 62 137442366.03577453
0 2/3I 63 128753335.87897
0 2/3I 64 122650564.47317486
0 2/3I 65 117339189.96805672
0 2/3I 66 111345090.1275171
0 2/3I 67 102849040.35435782
0 2/3I 68 91762720.77215192
0 2/3I 69 79543471.81760389
0 4E 3 116066101.25060317
0 4E 4 96233868.74708766
0 4E 5 97367245.7515519
0 4E 6 101282568.7840671
0 4E 7 103651122.73217544
0 4E 8 103471205.4263407
0 4E 9 101631300.2520625
0 4E 10 99976792.45296565
0 4E 11 98151451.74491821
0 4E 12 95981626.40404986
0 4E 13 94813463.67390533
0 4E 14 94783302.83578363
0 4E 15 96090576.87498754
0 4E 16 99255088.29203877
0 4E 17 102246646.65231733
0 4E 18 102985458.71822777
0 4E 19 101967724.54590061
0 4E 20 99750135.39747342
0 4E 21 96754871.62699178
0 4E 22 94689861.38563684
0 4E 23 94683910.61941019
0 4E 24 95781712.8016769
0 4E 25 96576221.60194805
0 4E 26 96591812.69242677
0 4E 27 95634013.60820608
0 4E 28 93660204.15699281
0 4E 29 91041889.98359117
0 4E 30 88836397.91456363
0 4E 31 89831572.35686229
0 4E 32 95335204.40943764
0 4E 33 100368086.88878849
0 4E 34 99154603.58164962
0 4E 35 94352426.0942381
0 4E 36 95887775.17936501
0 4E 37 109407555.5307573
0 4E 38 126214261.091533
0 4E 39 133121117.6981926
0 4E 40 129466952.30197191
0 4E 41 123901407.2837412
0 4E 42 121367140.8085849
0 4E 43 120087863.45343319
0 4E 44 116851079.07023662
0 4E 45 111589520.76396629
0 4E 46 107470783.8470225
0 4E 47 107357348.17381263
0 4E 48 110044369.78631154
0 4E 49 110913065.59229091
0 4E 50 107922147.3275574
0 4E 51 103965130.48242567
0 4E 52 101998842.33971325
0 4E 53 101883955.82816896
0 4E 54 101646367.41915017
0 4E 55 100455035.9922067
0 4E 56 100603445.0518527
0 4E 57 103433339.90893835
0 4E 58 105001024.21160918
0 4E 59 102082313.52073592
0 4E 60 98521414.51272793
0 4E 61 99021359.6796577
0 4E 62 101489093.52554339
0 4E 63 101790509.96061578
0 4E 64 101098740.00436097
0 4E 65 102001457.73057866
0 4E 66 103933389.1712029
0 4E 67 105262535.42137972
0 4E 68 103767979.26647371
0 4E 69 99401925.84602797
0 4I 3 878869773.0195119
0 4I 4 805249951.7745845
0 4I 5 798846632.7850951
0 4I 6 805274118.1206081
0 4I 7 808949697.9604373
0 4I 8 806765930.3299297
0 4I 9 801793283.1225946
0 4I 10 797069686.2320848
0 4I 11 788880060.8914654
0 4I 12 778475927.7702894
0 4I 13 772000537.4335598
0 4I 14 765977920.9205285
0 4I 15 758579975.9817958
0 4I 16 754498933.6647286
0 4I 17 749874929.662822
0 4I 18 739674486.7556238
0 4I 19 725991470.8266579
0 4I 20 708898194.4418513
0 4I 21 687687784.5309153
0 4I 22 666643163.9506373
0 4I 23 650512729.9649289
0 4I 24 636838805.1509088
0 4I 25 620134046.525737
0 4I 26 602392714.1938972
0 4I 27 585735241.7833307
0 4I 28 566587625.4792688
0 4I 29 545901770.5509855
0 4I 30 527293547.23186094
0 4I 31 512616992.0078512
0 4I 32 503757494.8169557
0 4I 33 494510801.7720449
0 4I 34 475163214.3384857
0 4I 35 450022305.79503804
0 4I 36 436156451.55790246
0 4I 37 442682767.857003
0 4I 38 453114565.29333055
0 4I 39 445222445.0783607
0 4I 40 420920111.62969387
0 4I 41 394936432.3578056
0 4I 42 374764610.0372742
0 4I 43 359053020.8651223
0 4I 44 340349653.31713146
0 4I 45 314902427.2296239
0 4I 46 288631051.3739505
0 4I 47 267508063.19527066
0 4I 48 250972803.02921113
0 4I 49 235060798.1120777
0 4I 50 218445939.8476737
0 4I 51 203346275.09992796
0 4I 52 190206856.569913
0 4I 53 177635101.86455277
0 4I 54 164604153.70292887
0 4I 55 151074937.62834126
0 4I 56 140653799.3685728
0 4I 57 135284396.943583
0 4I 58 128803082.1742875
0 4I 59 117026082.37855992
0 4I 60 104771564.63109165
0 4I 61 96304797.00835872
0 4I 62 89436209.48611405
0 4I 63 80567810.11309509
0 4I 64 70399290.95155174
0 4I 65 62378644.54867002
0 4I 66 57825070.155361384
0 4I 67 55091719.51259581
0 4I 68 50503974.898073256
0 4I 69 42064692.2604257
0 5E 3 969766792.1573133
0 5E 4 895357737.2435322
0 5E 5 895570190.1809919
0 5E 6 904232045.3634945
0 5E 7 900372230.4144759
0 5E 8 884785176.10195
0 5E 9 868194916.0142522
0 5E 10 854175299.9813595
0 5E 11 834500083.9170525
0 5E 12 818422487.4196811
0 5E 13 822760469.3157094
0 5E 14 834132861.2948763
0 5E 15 841019407.4948761
0 5E 16 847983262.9986829
0 5E 17 841650208.837384
0 5E 18 817752577.9714792
0 5E 19 795206913.644175
0 5E 20 774713689.0224438
0 5E 21 752624618.4582663
0 5E 22 748055095.1701767
0 5E 23 767408636.7486149
0 5E 24 780367797.6634673
0 5E 25 759664460.7701745
0 5E 26 717509614.5677884
0 5E 27 673920229.7276881
0 5E 28 631153855.7681687
0 5E 29 596422377.7576602
0 5E 30 575480867.9789195
0 5E 31 567627080.177851
0 5E 32 578354087.3398764
0 5E 33 588778178.1504583
0 5E 34 564148617.8038815
0 5E 35 513874389.8843007
0 5E 36 479611749.5136076
0 5E 37 479859164.04033935
0 5E 38 498263679.97709095
0 5E 39 514861573.0313076
0 5E 40 524716961.5390097
0 5E 41 521982331.96841085
0 5E 42 505114933.1140218
0 5E 43 484157124.5053507
0 5E 44 456614722.6615409
0 5E 45 421170433.79626256
0 5E 46 397270422.3059114
0 5E 47 388121014.7701339
0 5E 48 373906854.16289747
0 5E 49 345906080.10392416
0 5E 50 310440974.45244193
0 5E 51 277791270.7001821
0 5E 52 254457691.96309903
0 5E 53 238712210.2850463
0 5E 54 224731253.59055912
0 5E 55 210710912.14461398
0 5E 56 202779869.91952658
0 5E 57 202349201.32380265
0 5E 58 196876801.06303564
0 5E 59 179546355.79509872
0 5E 60 159081943.7524405
0 5E 61 143504589.52681547
0 5E 62 134551839.83652598
0 5E 63 130729206.561986
0 5E 64 128699062.20886981
0 5E 65 125990485.9166981
0 5E 66 120481013.51146013
0 5E 67 110412106.88248888
0 5E 68 95798421.32933816
0 5E 69 78982997.64914772
0 5I 3 979027416.1869109
0 5I 4 840508295.4250777
0 5I 5 819884218.4026119
0 5I 6 824285679.9419723
0 5I 7 825730467.2015171
0 5I 8 819489265.886692
0 5I 9 811790653.5047977
0 5I 10 806126903.3751493
0 5I 11 795939377.1795645
0 5I 12 784245441.4050667
0 5I 13 780512077.0142881
0 5I 14 778602806.3542773
0 5I 15 775766541.8640851
0 5I 16 778284530.9288224
0 5I 17 777195055.7736226
0 5I 18 765096794.2848924
0 5I 19 750548869.0846232
0 5I 20 735591916.5965433
0 5I 21 717434225.344943
0 5I 22 703400491.7049468
0 5I 23 698841544.7048657
0 5I 24 693641821.6195321
0 5I 25 677639737.8986368
0 5I 26 657109523.039797
0 5I 27 636402102.9239161
0 5I 28 610682802.0623274
0 5I 29 585222807.3935099
0 5I 30 565600186.185713
0 5I 31 550450407.8252876
0 5I 32 544250339.4361162
0 5I 33 539661960.3166124
0 5I 34 517083769.8713039
0 5I 35 481088050.825743
0 5I 36 457013059.5125504
0 5I 37 455072487.5710865
0 5I 38 459779054.0732515
0 5I 39 454282225.9024347
0 5I 40 439090291.6142911
0 5I 41 419674773.98753166
0 5I 42 399497371.0131061
0 5I 43 381355246.6333028
