Run Group Frequency Power
0 2/3E 3 382329673.6887663
0 2/3E 4 363661519.7598957
0 2/3E 5 372002650.1621778
0 2/3E 6 379623339.97488093
0 2/3E 7 380598803.0894804
0 2/3E 8 378915566.9176643
0 2/3E 9 377618789.2482388
0 2/3E 10 376272112.398926
0 2/3E 11 373995383.2007899
0 2/3E 12 370409607.6441492
0 2/3E 13 365807076.2530223
0 2/3E 14 361083895.3552665
0 2/3E 15 355583426.07120216
0 2/3E 16 349405065.6549517
0 2/3E 17 347333135.70730895
0 2/3E 18 353931526.0403124
0 2/3E 19 366401099.77323866
0 2/3E 20 374761457.3314775
0 2/3E 21 373046099.486181
0 2/3E 22 366459925.03506804
0 2/3E 23 359496673.43742704
0 2/3E 24 351421021.330404
0 2/3E 25 343621473.55691516
0 2/3E 26 335807472.97923636
0 2/3E 27 327148532.6462431
0 2/3E 28 326381728.6638651
0 2/3E 29 341757431.68219864
0 2/3E 30 362863278.5523432
0 2/3E 31 370037790.75593495
0 2/3E 32 359028507.71915805
0 2/3E 33 343014208.3344695
0 2/3E 34 335848363.8138176
0 2/3E 35 339199899.3681078
0 2/3E 36 341237468.7239926
0 2/3E 37 330933944.70276165
0 2/3E 38 311214029.8871326
0 2/3E 39 293001469.78624195
0 2/3E 40 281540113.0180713
0 2/3E 41 275185816.85132635
0 2/3E 42 272637480.1218717
0 2/3E 43 272317313.58499193
0 2/3E 44 271839065.29592437
0 2/3E 45 269975441.1642544
0 2/3E 46 263286808.37169307
0 2/3E 47 252603673.83619314
0 2/3E 48 247396329.59448305
0 2/3E 49 248793850.03637668
0 2/3E 50 246660230.73176536
0 2/3E 51 240497078.03568476
0 2/3E 52 240503805.27327758
0 2/3E 53 247408132.54184514
0 2/3E 54 252513935.0793273
0 2/3E 55 252296203.59583962
0 2/3E 56 247654010.49210864
0 2/3E 57 238244474.26700217
0 2/3E 58 225460390.3055499
0 2/3E 59 215247879.0355177
0 2/3E 60 211605283.12940606
0 2/3E 61 208225513.24949548
0 2/3E 62 198114093.85254705
0 2/3E 63 186947190.7525789
0 2/3E 64 184343832.13857606
0 2/3E 65 190523108.78911757
0 2/3E 66 197126336.85392004
0 2/3E 67 196707219.45926136
0 2/3E 68 188947563.3297165
0 2/3E 69 176672333.6695902
0 2/3I 3 925508204.8315468
0 2/3I 4 836818662.3222418
0 2/3I 5 840836692.0150564
0 2/3I 6 853047339.0591056
0 2/3I 7 853204878.1832691
0 2/3I 8 847909544.114158
0 2/3I 9 843967457.8800966
0 2/3I 10 841550595.2027376
0 2/3I 11 838307666.5964079
0 2/3I 12 830555768.7388258
0 2/3I 13 816196288.7004917
0 2/3I 14 798392924.1518567
0 2/3I 15 780455691.0899322
0 2/3I 16 764619905.8332009
0 2/3I 17 757378042.4201705
0 2/3I 18 764438825.2619483
0 2/3I 19 780822346.7603443
0 2/3I 20 789485669.2111688
0 2/3I 21 779794286.5503676
0 2/3I 22 761663059.7511892
0 2/3I 23 743596134.3918936
0 2/3I 24 722439750.2833498
0 2/3I 25 698682165.5993248
0 2/3I 26 673079935.4003398
0 2/3I 27 646538508.4694903
0 2/3I 28 634884909.1932762
0 2/3I 29 652410854.7889284
0 2/3I 30 680643094.1526277
0 2/3I 31 683971380.539259
0 2/3I 32 653376334.470696
0 2/3I 33 611384560.2072821
0 2/3I 34 582965085.3247337
0 2/3I 35 572680635.661458
0 2/3I 36 562481852.5670466
0 2/3I 37 535246793.85215497
0 2/3I 38 495882898.23236483
0 2/3I 39 460675480.7368417
0 2/3I 40 435034593.8433871
0 2/3I 41 413985440.1104442
0 2/3I 42 396742887.7488173
0 2/3I 43 384192752.11619604
0 2/3I 44 373090186.02966857
0 2/3I 45 359755536.9619571
0 2/3I 46 339392767.6163494
0 2/3I 47 314665511.77774227
0 2/3I 48 299446788.8217982
0 2/3I 49 295066982.1844044
0 2/3I 50 286433423.59370077
0 2/3I 51 270393622.7600708
0 2/3I 52 259202314.51949227
0 2/3I 53 255722777.364452
0 2/3I 54 251154180.1916511
0 2/3I 55 241576776.17597437
0 2/3I 56 228010687.15493467
0 2/3I 57 209991035.90269363
0 2/3I 58 188832253.55432826
0 2/3I 59 170832249.9307227
0 2/3I 60 160719787.0063511
0 2/3I 61 152800580.08610737
0 2/3I 62 139258643.1618911
0 2/3I 63 123740385.4654236
0 2/3I 64 114518292.50896895
0 2/3I 65 111688029.52653643
0 2/3I 66 108171184.30600688
0 2/3I 67 99121428.91278155
0 2/3I 68 86607151.23005849
0 2/3I 69 74280777.22606212
0 4E 3 105634130.93937248
0 4E 4 94106988.95113674
0 4E 5 95448358.68066466
0 4E 6 99157141.18096381
0 4E 7 102303475.79809391
0 4E 8 104661328.76712903
0 4E 9 105803751.4158445
0 4E 10 105514798.21149352
0 4E 11 104577466.14791574
0 4E 12 103292801.04821283
0 4E 13 101214434.12371552
0 4E 14 98890053.91255116
0 4E 15 97245258.37661003
0 4E 16 96431003.57673164
0 4E 17 96932358.15146255
0 4E 18 99846470.84866166
0 4E 19 105075368.41327067
0 4E 20 109694008.34935156
0 4E 21 110991460.50754586
0 4E 22 110065142.0432634
0 4E 23 108118961.22437395
0 4E 24 104885687.42526758
0 4E 25 101676224.43999043
0 4E 26 99511684.37510282
0 4E 27 98412806.51063997
0 4E 28 100785332.46817909
0 4E 29 108507931.94127029
0 4E 30 117173899.83601439
0 4E 31 119905037.3557598
0 4E 32 115795180.8105663
0 4E 33 109960900.60234669
0 4E 34 107572227.6427516
0 4E 35 109054530.38246012
0 4E 36 109665543.33774048
0 4E 37 105827226.8518233
0 4E 38 100048609.36591907
0 4E 39 96984182.21558003
0 4E 40 97228577.95529589
0 4E 41 98162073.27337977
0 4E 42 98906109.27750815
0 4E 43 99778369.63544142
0 4E 44 100343337.91631281
0 4E 45 100241694.25025228
0 4E 46 98529027.23283286
