Run NumNeurons Group meanFR meanCV
0 7722 all 11.0466 0.6797
0 7722 2/3E 8.914 0.2828
0 7722 2/3I 17.6068 1.0943
0 7722 4E 4.7942 0.5291
0 7722 4I 10.1667 0.7597
0 7722 5E 19.1065 0.84
0 7722 5I 14.5428 0.6133
0 7722 6E 0.0292 
0 7722 6I 11.1448 0.6387
1 7722 all 11.6449 0.7631
1 7722 2/3E 8.3275 0.536
1 7722 2/3I 16.8205 1.0961
1 7722 4E 3.823 0.5504
1 7722 4I 11.0185 0.8895
1 7722 5E 21.925 0.8721
1 7722 5I 15.3406 0.7305
1 7722 6E 0.0167 
1 7722 6I 11.4478 0.667
2 7722 all 10.9604 0.7291
2 7722 2/3E 9.0715 0.5376
2 7722 2/3I 17.8256 1.1327
2 7722 4E 3.8601 0.4579
2 7722 4I 10.1296 0.8733
2 7722 5E 18.7225 0.7566
2 7722 5I 14.6521 0.6702
2 7722 6E 0.0514 
2 7722 6I 11.4343 0.6756
3 7722 all 9.855 0.669
3 7722 2/3E 8.514 0.4351
3 7722 2/3I 15.1248 1.0617
3 7722 4E 3.6749 0.4728
3 7722 4I 10.7593 0.8296
3 7722 5E 16.332 0.6801
3 7722 5I 13.8069 0.5848
3 7722 6E 0.0153 
3 7722 6I 11.3131 0.6189
4 7722 all 9.7312 0.7103
4 7722 2/3E 7.0599 0.5338
4 7722 2/3I 14.2359 1.0379
4 7722 4E 4.5226 0.5302
4 7722 4I 9.2407 0.7972
4 7722 5E 17.4925 0.7868
4 7722 5I 14.0838 0.6398
4 7722 6E 0.0208 
4 7722 6I 10.0606 0.6467
5 7722 all 12.9088 0.7934
5 7722 2/3E 10.2203 0.5996
5 7722 2/3I 19.7128 1.2166
5 7722 4E 4.1111 0.4929
5 7722 4I 10.7963 0.8499
5 7722 5E 23.3827 0.9214
5 7722 5I 16.0474 0.7534
5 7722 6E 0.0208 
5 7722 6I 12.9697 0.7198
6 7722 all 8.668 0.6634
6 7722 2/3E 6.1353 0.4614
6 7722 2/3I 11.3675 0.952
6 7722 4E 3.8683 0.4937
6 7722 4I 9.2407 0.8214
6 7722 5E 15.925 0.6889
6 7722 5I 12.6812 0.6069
6 7722 6E 0.0097 
6 7722 6I 9.771 0.6197
7 7722 all 12.813 0.6893
7 7722 2/3E 10.2647 0.4654
7 7722 2/3I 19.159 1.0445
7 7722 4E 3.9547 0.4871
7 7722 4I 12.2037 0.7815
7 7722 5E 23.0809 0.7927
7 7722 5I 16.4809 0.5952
7 7722 6E 0.0167 
7 7722 6I 12.4444 0.6584
8 7722 all 9.9166 0.7276
8 7722 2/3E 7.8889 0.467
8 7722 2/3I 15.853 1.1179
8 7722 4E 4.1111 0.5398
8 7722 4I 9.5926 0.9063
8 7722 5E 16.9986 0.7539
8 7722 5I 13.8179 0.6769
8 7722 6E 0.0153 
8 7722 6I 10.6195 0.6313
9 7722 all 9.8972 0.7369
9 7722 2/3E 6.8599 0.5162
9 7722 2/3I 13.2376 1.0181
9 7722 4E 4.1687 0.519
9 7722 4I 9.7407 0.8495
9 7722 5E 18.749 0.8779
9 7722 5I 13.133 0.6912
9 7722 6E 0.0292 
9 7722 6I 10.5993 0.6863
0 11556 all 5.0791 0.5729
0 11556 2/3E 2.8411 0.4992
0 11556 2/3I 6.5934 0.7202
0 11556 4E 3.7028 0.4926
0 11556 4I 6.6296 0.6823
0 11556 5E 9.1641 0.5766
0 11556 5I 8.7766 0.5342
0 11556 6E 0.0028 
0 11556 6I 7.0385 0.5053
1 11556 all 8.8847 0.7126
1 11556 2/3E 5.9283 0.5022
1 11556 2/3I 12.4765 0.9839
1 11556 4E 3.8306 0.4871
1 11556 4I 8.2963 0.7627
1 11556 5E 16.758 0.9087
1 11556 5I 12.2686 0.6896
1 11556 6E 0.0037 
1 11556 6I 9.5646 0.6537
2 11556 all 6.1173 0.5955
2 11556 2/3E 3.6641 0.5274
2 11556 2/3I 8.0389 0.7566
2 11556 4E 3.7194 0.4714
2 11556 4I 7.0247 0.7141
