Run NumNeurons Group meanFR meanCV
0 7722 all 4.4012 0.6819
0 7722 2/3E 2.3797 0.4704
0 7722 2/3I 6.1265 0.6139
0 7722 4E 1.2387 0.4297
0 7722 4I 8.8704 0.9672
0 7722 5E 7.4476 0.835
0 7722 5I 8.6193 0.7183
0 7722 6E 0.2847 0.637
0 7722 6I 8.3704 0.7837
1 7722 all 5.2416 0.6932
1 7722 2/3E 2.9333 0.4608
1 7722 2/3I 6.8513 0.657
1 7722 4E 1.7243 0.4886
1 7722 4I 9.6111 0.945
1 7722 5E 9.1212 0.8933
1 7722 5I 9.6175 0.7507
1 7722 6E 0.425 0.5666
1 7722 6I 9.0236 0.7837
2 7722 all 5.3326 0.7001
2 7722 2/3E 3.1459 0.5353
2 7722 2/3I 7.1385 0.6762
2 7722 4E 1.7901 0.5001
2 7722 4I 9.6667 0.8623
2 7722 5E 9.1605 0.9
2 7722 5I 9.5774 0.7711
2 7722 6E 0.3875 0.5326
2 7722 6I 9.1785 0.8234
3 7722 all 5.2435 0.6797
3 7722 2/3E 3.0077 0.4896
3 7722 2/3I 6.8479 0.6517
3 7722 4E 1.716 0.4429
3 7722 4I 9.3333 0.8875
3 7722 5E 9.1139 0.8222
3 7722 5I 9.4353 0.7293
3 7722 6E 0.4 0.6669
3 7722 6I 9.1852 0.7476
4 7722 all 4.9902 0.7172
4 7722 2/3E 2.9971 0.5634
4 7722 2/3I 6.8239 0.657
4 7722 4E 1.6173 0.5241
4 7722 4I 9.4074 0.9211
4 7722 5E 8.2789 0.901
4 7722 5I 9.3843 0.7573
4 7722 6E 0.4181 0.6151
4 7722 6I 9.0101 0.7986
5 7722 all 5.7697 0.7058
5 7722 2/3E 3.3498 0.5571
5 7722 2/3I 7.4872 0.6879
5 7722 4E 2.284 0.4895
5 7722 4I 10.1296 0.9718
5 7722 5E 10.0585 0.8929
5 7722 5I 10.0729 0.7891
5 7722 6E 0.5014 0.4619
5 7722 6I 9.3805 0.7959
6 7722 all 5.4051 0.7196
6 7722 2/3E 3.1865 0.5965
6 7722 2/3I 7.1556 0.6916
6 7722 4E 2.1605 0.3928
6 7722 4I 9.5926 1.0273
6 7722 5E 9.1824 0.9053
6 7722 5I 9.847 0.7916
6 7722 6E 0.4319 0.4847
6 7722 6I 9.2929 0.8673
7 7722 all 5.1551 0.7431
7 7722 2/3E 3.056 0.5682
